Product,ProductID,Counts
Apple iPhone 5s 64GB (Gold) -T-Mobile,B00F3J1WZU,13
Apple iPhone 5s 64GB (Gold) -Unlocked,B00F3J1WZU,264
Apple iPhone 5s 64GB (Silver) - AT&T,B00F3J1WZU,30
Apple iPhone 5s 64GB (Silver) - T-Mobile,B00F3J1WZU,13
Apple iPhone 5s 64GB (Silver) - Unlocked,B00F3J1WZU,267
Apple iPhone 5s 64GB (Space Gray) - T-Mobile,B00F3J1WZU,13
Apple iPhone 5s 64GB (Space Gray) - Unlocked,B00F3J1WZU,267
"Apple iPhone 5s, Gold 16GB (Unlocked)",B00F3J1WZU,264
"Apple iPhone 5s, Silver 16GB (Unlocked)",B00F3J1WZU,264
"Apple iPhone 5s, Space Gray 16GB (Unlocked)",B00F3J1WZU,267
Asus Padfone Infinity 2 32GB White (PHONE ONLY) (Factory Unlocked) - International Version - 1.7ghz Quad Worldwide Shipping,B00BM4WXUS,6
At&t Samsung Sgh-a137,B002FVUJ2G,10
At&t/cingular Samsung Sgh-a117 Flip Cell Mobile Wireless Go Phone,B000SKW4W4,3
Audiovox 6600 Pocket PC Bluetooth Camera CDMA Phone,B0027Z6KP0,1
Audiovox PPC4100 - Smartphone - GSM - touch - Windows Mobile - AT&T,B0002NS8Z4,12
Aurous - Dual SIM Android 2.2 Smartphone with 4.3 Inch HD Capacitive Touchscreen,B0069UP3XE,1
BLACKBERRY 8310 Unlocked GSM PDA Cell Phone (Silver),B003TY9Q7W,3
BLACKBERRY Z10 16GB WHITE FACTORY UNLOCKED GSM,B00B90KCNU,137
BLU Advance 4.0 Unlocked Dual SIM Phone (Black),B00GXHPN1U,162
BLU Advance 4.0 Unlocked Dual SIM Phone (White),B00GXHPN1U,162
BLU Advance 4.5 Unlocked Dual SIM Phone (Black),B00GXHPN1U,24
BLU Advance 4.5 Unlocked Dual SIM Phone (White),B00GXHPN1U,24
BLU Aria T174 Black Blue Unlocked GSM Dual SIM QuadBand Bar Cell Phone,B00CJFXTIE,9
BLU Aria T174 Unlocked GSM Phone - Black/Red,B00CJFXTIE,6
BLU Aria T174 White Unlocked GSM Dual SIM QuadBand Bar Cell Phone,B00CJFXTIE,10
BLU D200 Magic - Unlocked Phone - US Warranty - Retail Packaging - White,B0036J380G,7
"BLU D230 Rave Unlocked Phone with Dual SIM Card support, Android 2.2 OS, 3 MP Camera, VGA Secondary Camera, GPS, MicroSD Card Slot Expandable Up To 32 GB - US Warranty - Black",B0075LDECS,7
"BLU Dash 3.5 D170a Unlocked Dual SIM Phone with 1GHz Processor, Android 2.3, 3G HSDPA, High Resolution LCD, Wi-Fi, GPS - US Warranty",B009NBB5KQ,88
"BLU Dash 3.5 D170a White Unlocked Dual SIM Phone with 1GHz Processor, Android 2.",B00AJVFPRS,8
"BLU Dash 4.0 D270a Unlocked Dual SIM Phone with Dual-Core 1GHz Processor, Android 4.0 ICS, 3G HSPA, and High Res LCD Screen - U.S. Warranty (Black)",B00B7NAFI6,135
"BLU Dash 4.5 Unlocked Dual Sim Phone with Quad-Core 1.2GHz Processor, Android 4.2 JB, 4.5-inch Display, 4G HSPA+ up to 21Mbps and 5MP Camera (Black)",B00DMI9N32,95
BLU Dash 5.0 D410a Unlocked Dual SIM  GSM Phone (Black),B00FZV14GI,43
BLU Dash 5.0 D410a Unlocked Dual SIM  GSM Phone (Blue),B00FZV14GI,68
BLU Dash 5.0 D410a Unlocked Dual SIM  GSM Phone (Grey),B00FZV14GI,68
BLU Dash 5.0 D410a Unlocked Dual SIM  GSM Phone (White),B00FZV14GI,68
BLU Dash 5.0 D410a Unlocked Dual SIM  GSM Phone (Yellow),B00FZV14GI,68
BLU Dash JR D140 Unlocked Dual Sim Phone (Black),B00FJ92RYO,18
BLU Dash JR D140 Unlocked Dual Sim Phone (Blue),B00FJ92RYO,10
